,user,action,cible,PA,timer,resultat,timer_ok,texte
1,Valefor,init,G,0,NA,Un système de protection des Archanges,NA,NA
2,Crocell,init,B,0,NA,"Apparitions étranges à the Scientific and Magic Institute, San Franscico, USA",NA,NA
3,Baal,init,V,0,NA,Une heureuse nouvelle,NA,NA
4,Malphas,init,K,0,NA,Problèmes administratifs en Enfer,NA,NA
5,Crocell,init,K,0,NA,Problèmes administratifs en Enfer,NA,NA
6,Baal,init,G,0,NA,Un système de protection des Archanges,NA,NA
7,Valefor,init,A,0,NA,Etudes scientifiques menées par l'archange Yves,NA,NA
8,Dominique,init,I,0,NA,Un vol chez l'archange Yves,NA,NA
9,Malphas,init,C,0,NA,Ragots d’une petite fille,NA,NA
10,Andrealphus,init,H,0,NA,Une rencontre entre Archanges et Princes Démons sur Terre,NA,NA
11,Yves,init,L,0,NA,Ragots d'un petit démon,NA,NA
12,Andrealphus,init,I,0,NA,Un vol chez l'archange Yves,NA,NA
13,Crocell,init,U,0,NA,Un nouvel arrivant,NA,NA
14,Blandin,init,S,0,NA,Un nouveau texte évangélique,NA,NA
15,Andrealphus,init,D,0,NA,Alerte sur le continuum spatiotemporel,NA,NA
16,Jesus,init,E,0,NA,Le nouveau virus de l'Archange Guy,NA,NA
17,Valefor,init,U,0,NA,Un nouvel arrivant,NA,NA
18,Malphas,init,O,0,NA,Rapport du démon Jukseksakj sur l'activité éthérique anormale de l'hôtel Ragazza à Milan,NA,NA
19,Yves,init,N,0,NA,"Rapport de police, incident du bar dit « chez petit Louis »",NA,NA
20,Dominique,init,H,0,NA,Une rencontre entre Archanges et Princes Démons sur Terre,NA,NA
21,Baal,init,L,0,NA,Ragots d'un petit démon,NA,NA
22,TEST,init,Z,0,NA,"Torquent, eget accumsan sed",NA,NA
23,Andrealphus,init,R,0,NA,Le dossier Pélican,NA,NA
24,Valefor,init,B,0,NA,"Apparitions étranges à the Scientific and Magic Institute, San Franscico, USA",NA,NA
25,Blandin,init,R,0,NA,Le dossier Pélican,NA,NA
26,Blandin,init,J,0,NA,Destruction du Vatican,NA,NA
27,Crocell,init,E,0,NA,Le nouveau virus de l'Archange Guy,NA,NA
28,Dominique,init,C,0,NA,Ragots d’une petite fille,NA,NA
29,Crocell,init,Q,0,NA,Des remous en enfer : conscription et entrainement,NA,NA
30,Dominique,init,D,0,NA,Alerte sur le continuum spatiotemporel,NA,NA
31,Baal,init,S,0,NA,Un nouveau texte évangélique,NA,NA
32,Jesus,init,P,0,NA,L’incident de l’escalier,NA,NA
33,Baal,init,M,0,NA,Emploi du temps des archanges dossier C42,NA,NA
34,Yves,init,J,0,NA,Destruction du Vatican,NA,NA
35,Andrealphus,init,N,0,NA,"Rapport de police, incident du bar dit « chez petit Louis »",NA,NA
36,Jesus,init,M,0,NA,Emploi du temps des archanges dossier C42,NA,NA
37,Malphas,init,F,0,NA,L'intervention infernale en Yougoslavie,NA,NA
38,Blandin,init,Q,0,NA,Des remous en enfer : conscription et entrainement,NA,NA
39,Valefor,init,P,0,NA,L’incident de l’escalier,NA,NA
40,Jesus,init,O,0,NA,Rapport du démon Jukseksakj sur l'activité éthérique anormale de l'hôtel Ragazza à Milan,NA,NA
41,Malphas,init,A,0,NA,Etudes scientifiques menées par l'archange Yves,NA,NA
42,Yves,init,F,0,NA,L'intervention infernale en Yougoslavie,NA,NA
43,Blandin,init,V,0,NA,Une heureuse nouvelle,NA,NA
