"","user","action","cible","PA","timer","resultat","timer_ok","texte"
"1","Jesus","init","K",0,NA,"Des échanges au sommet",NA,NA
"2","Malphas","init","N",0,NA,"Une mort importante",NA,NA
"3","Dominique","init","M",0,NA,"Ragots en Enfer",NA,NA
"4","Jesus","init","J",0,NA,"Le choix des Antéchrist",NA,NA
"5","Andromalius","init","R",0,NA,"Un dîner surprenant",NA,NA
"6","HACK","init","K",0,NA,"Des échanges au sommet",NA,NA
"7","Jordi","init","B",0,NA,"Étranges coïncidences",NA,NA
"8","Jordi","init","F",0,NA,"Vision apocalyptique",NA,NA
"9","Malphas","init","P",0,NA,"Manifestation impie",NA,NA
"10","Jesus","init","E",0,NA,"Un grand pouvoir implique de grandes responsabilités",NA,NA
"11","Baal","init","B",0,NA,"Étranges coïncidences",NA,NA
"12","HACK","init","G",0,NA,"Un duel nucléaire",NA,NA
"13","Jordi","init","U",0,NA,"Maladie bénéfique",NA,NA
"14","Dominique","init","R",0,NA,"Un dîner surprenant",NA,NA
"15","Malphas","init","T",0,NA,"Alarme en Enfer",NA,NA
"16","HACK","init","I",0,NA,"Ragot au Paradis",NA,NA
"17","HACK","init","F",0,NA,"Vision apocalyptique",NA,NA
"18","HACK","init","J",0,NA,"Le choix des Antéchrist",NA,NA
"19","HACK","init","R",0,NA,"Un dîner surprenant",NA,NA
"20","Baal","init","U",0,NA,"Maladie bénéfique",NA,NA
"21","HACK","init","M",0,NA,"Ragots en Enfer",NA,NA
"22","Andromalius","init","S",0,NA,"Une bibliothèque ouverte",NA,NA
"23","HACK","init","L",0,NA,"Un nouveau candidat",NA,NA
"24","Marc","init","N",0,NA,"Une mort importante",NA,NA
"25","Malthus","init","O",0,NA,"Un délire inquiétant",NA,NA
"26","TEST","init","B",0,NA,"Étranges coïncidences",NA,NA
"27","Kronos","init","A",0,NA,"Des créatures étranges",NA,NA
"28","HACK","init","B",0,NA,"Étranges coïncidences",NA,NA
"29","Andromalius","init","C",0,NA,"Retour vers le futur",NA,NA
"30","HACK","init","Q",0,NA,"Un classement imparfait",NA,NA
"31","Jesus","init","Q",0,NA,"Un classement imparfait",NA,NA
"32","HACK","init","N",0,NA,"Une mort importante",NA,NA
"33","Malphas","init","E",0,NA,"Un grand pouvoir implique de grandes responsabilités",NA,NA
"34","HACK","init","A",0,NA,"Des créatures étranges",NA,NA
"35","Yves","init","H",0,NA,"Travail familial",NA,NA
"36","HACK","init","H",0,NA,"Travail familial",NA,NA
"37","TEST","init","D",0,NA,"Un condamné loquace",NA,NA
"38","Baal","init","L",0,NA,"Un nouveau candidat",NA,NA
"39","HACK","init","C",0,NA,"Retour vers le futur",NA,NA
"40","Marc","init","S",0,NA,"Une bibliothèque ouverte",NA,NA
"41","Yves","init","G",0,NA,"Un duel nucléaire",NA,NA
"42","Dominique","init","A",0,NA,"Des créatures étranges",NA,NA
"43","Jordi","init","O",0,NA,"Un délire inquiétant",NA,NA
"44","HACK","init","T",0,NA,"Alarme en Enfer",NA,NA
"45","HACK","init","D",0,NA,"Un condamné loquace",NA,NA
"46","HACK","init","P",0,NA,"Manifestation impie",NA,NA
"47","HACK","init","E",0,NA,"Un grand pouvoir implique de grandes responsabilités",NA,NA
"48","TEST","init","A",0,NA,"Des créatures étranges",NA,NA
"49","Kronos","init","G",0,NA,"Un duel nucléaire",NA,NA
"50","Kronos","init","I",0,NA,"Ragot au Paradis",NA,NA
"51","Malthus","init","K",0,NA,"Des échanges au sommet",NA,NA
"52","HACK","init","O",0,NA,"Un délire inquiétant",NA,NA
"53","TEST","init","C",0,NA,"Retour vers le futur",NA,NA
"54","HACK","init","S",0,NA,"Une bibliothèque ouverte",NA,NA
"55","Baal","init","H",0,NA,"Travail familial",NA,NA
"56","Kronos","init","Q",0,NA,"Un classement imparfait",NA,NA
"57","Dominique","init","I",0,NA,"Ragot au Paradis",NA,NA
"58","Malthus","init","F",0,NA,"Vision apocalyptique",NA,NA
"59","Jordi","init","M",0,NA,"Ragots en Enfer",NA,NA
"60","Marc","init","L",0,NA,"Un nouveau candidat",NA,NA
"61","Andromalius","init","J",0,NA,"Le choix des Antéchrist",NA,NA
"62","Yves","init","C",0,NA,"Retour vers le futur",NA,NA
"63","Malthus","init","D",0,NA,"Un condamné loquace",NA,NA
"64","Baal","init","T",0,NA,"Alarme en Enfer",NA,NA
"65","Yves","init","P",0,NA,"Manifestation impie",NA,NA
"66","Marc","init","D",0,NA,"Un condamné loquace",NA,NA
